Electrical conductivity (mostly) in ohm-1 * cm-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
AgBr-NaBr,0-100,DP,,,,2.83,1000K,,,,"For 100% NaBr at 1000 K, the departure from the recommended data set is +0.2%.",
AgBr-NaBr,40-60,+E,900,950,,5.012,-4712.52,,,,,
AgBr-NaBr,60-40,+E,800,950,,5.39939,-5009.59,,,,,
AgBr-NaBr,80-20,+E,700,950,,5.177,-3928.84,,,,,
AgBr-NaBr,100-0,+E,710,1000,,5.06529,-3077.72,,,,"For 100% AgBr, the departures from the recommended data set are: 720 K, +4.0%,950 K, +2.7%.",
AgBr-NaCl,0-100,+E,1080,1120,,9.0177,-8223.79,,,,"For 100% NaCl, the departures from the recommended data set are: 1080 K, +0.3%, 1120 K, +0.4%.",
AgBr-NaCl,20-80,+E,1030,1120,,7.5724,-7208.32,,,,,
AgBr-NaCl,40-60,+E,980,1120,,6.1372,-5697.03,,,,,
AgBr-NaCl,60-40,+E,930,1120,,6.05,-5626.74,,,,,
AgBr-NaCl,80-20,+E,880,1120,,5.2182,-4064.41,,,,,
AgBr-NaCl,100-0,+E,880,1120,,5.0604,-3288.26,,,,"For 100% AgBr, the results are in exact accord with the recommended data set.",
AgBr-RbBr,0-100,+E,955,1050,,16.571,-21959.25,,,,"For 100% RbBr, the departures from the recommended data set are: 960 K, -6.0%,1050 K, +2.9%.",
AgBr-RbBr,20-80,+E,880,1000,,9.037,-16576.45,,,,,
AgBr-RbBr,40-60,+E,750,1000,,8.41,-14593.2,,,,,
AgBr-RbBr,60-40,+E,600,1000,,8.28633,-14465.59,,,,,
AgBr-RbBr,70-30,+E,600,1000,,4.518,-7443.88,,,,,
AgBr-RbBr,80-20,+E,600,1000,,8.92478,-16435.03,,,,,
AgBr-RbBr,100-0,+E,710,1000,,5.065,-3077.8,,,,"For 100% AgBr, the departures from the recommended data set are: 720 K, +4.0%,950 K, +2.7%.",
AgCl,100,+E,753,1013,1%,8.482,-4941.39,,,,,
AgCl-AgI,10-90,+E,830,870,,3.712,-2929.69,,,,,
AgCl-AgI,25-75,+E,730,870,,3.653,-2680.73,,,,,
AgCl-AgI,42-58,+E,580,870,,4.5244,-3277.38,,,,,
AgCl-AgI,90-10,+E,730,870,,7.0061,-4381.14,,,,,
AgCl-AgNO3,0-100,+E,573,823,,5.757,-7941.36,,,,"For 100% AgNO3, the departures from the recommended data set are: 580 K, +4.0%, 820 K, -15%.",
AgCl-AgNO3,18.5-81.5,+E,580,820,,6.78333,-8731.74,,,,,
AgCl-AgNO3,20-80,+E,580,820,,6.88415,-8807.05,,,,,
AgCl-AgNO3,40-60,+E,580,820,,7.36215,-8643.03,,,,,
AgCl-AgNO3,60-40,+E,640,820,,7.10145,-7469.82,,,,,
AgCl-AgNO3,80-20,+E,640,820,,7.79843,-6418.78,,,,,
AgCl-AgNO3,100-0,+E,730,823,,7.4195,-4022.15,,,,"For 100% AgCl, the departures from the recommended data set are: 750 K, +1.0%,820 K, +0.1%.",
AgCl-Ag2S,10.06-89.94,+E,1030,1050,,66.0159,11593.64,,,,,
AgCl-Ag2S,22.8-77.2,+E,965,1200,,37.4301,12814.97,,,,,
AgCl-Ag2S,52.17-47.83,+E,910,1050,,399.576,-23544.6,,,,,
AgCl-Ag2S,60.0-40.0,+E,850,970,,1349.45,-34828.62,,,,,
AgCl-Ag2S,65.0-35.0,+E,710,1030,,113.569,-22250.47,,,,,
AgCl-Ag2S,70.0-30.0,+E,710,1030,,35.6091,-15566.,,,,,
AgCl-Ag2S,80.0-20.0,+E,730,970,,11.2275,-8174.42,,,,,
AgCl-Ag2S,90.0-10.0,+E,730,1040,,8.18487,-5790.75,,,,,
AgCl-Ag2S,95.0-5.0,+E,720,1030,,9.44444,-6393.26,,,,,
AgCl-Ag2S,100.0-0.0,+E,730,1020,,8.482,-4941.39,,,,"For 100% AgCl, the results have been advanced as the recommended data set.",
AgCl-AlBr3,26.2-73.8,+E,373,443,,11.779,-21855.91,,,,,
AgCl-KBr,0-100,+E,1030,1120,,5.8551,-10852.22,,,,"For 100% KBr, the departures from the recommended data set are: 1030 K, -1.9%,1120 K, -2.2%.",
AgCl-KBr,20-80,+E,880,1070,,5.7007,-10146.79,,,,,
AgCl-KBr,40-60,+E,830,1070,,5.5346,-9107.47,,,,,
AgCl-KBr,60-40,+E,780,1070,,5.3994,-7243.46,,,,,
AgCl-KBr,80-20,+E,780,1070,,5.5676,-4867.75,,,,,
AgCl-KBr,100-0,+E,780,1070,,7.4195,-4022.15,,,,"For 100% AgCl, the departures from the recommended data set are: 750 K, +1.0%,1070 K, -3.0%.",
AgCl-KCl,34.3-65.7,+E,930,970,,10.679,-12914.55,,,,,
AgCl-KCl,46.8-53.2,+E,830,970,,8.042,-10082.35,,,,,
AgCl-KCl,57.7-42.3,+E,730,970,,7.282,-8558.93,,,,,
AgCl-KCl,79.1-20.9,+E,680,970,,6.865,-6048.91,,,,,
AgCl-KCl,100-0,+E,730,970,,7.644,-4342.65,,,,"For 100% AgCl, the departures from the recommended data set are: 750 K, -0.79%, 970 K, -2.9%.",
AgCl-LiBr,0-100,+E,880,1070,,13.197,-7097.02,,,,"For 100% LiBr, the departures from the recommended data set are: 880 K, -0.09%, 1070 K, +0.22%.",
AgCl-LiBr,20-80,+E,830,1070,,11.677,-7109.15,,,,,
AgCl-LiBr,60-40,+E,830,1070,,9.2766,-6888.65,,,,,
AgCl-LiBr,60-40,+E,830,1070,,12.243,-8568.56,,,,,
AgCl-LiBr,80-20,+E,830,1070,,7.5604,-5037.62,,,,,
AgCl-LiBr,100-0,+E,830,1070,,7.4195,-4022.15,,,,"For 100% AgCl, the departures from the recommended data set are: 830 K, +0.1%,1070 K, -3.0%.",
AgCl-NaBr,0-100,+E,1030,1120,,8.55542,-9187.38,,,,"For 100% NaBr, the departures from the recommended data set are: 1030 K, +0.10%, 1120 K, -0.38%.",
AgCl-NaBr,20-80,+E,1030,1070,,7.79392,-8405.8,,,,,
AgCl-NaBr,40-60,+E,980,1070,,7.45696,-7773.17,,,,,
AgCl-NaBr,60-40,+E,930,1070,,6.42831,-5629.25,,,,,
AgCl-NaBr,80-20,+E,830,1070,,6.3496,-4166.29,,,,,
AgCl-NaBr,100-0,+E,830,1070,,7.4195,-4022.15,,,,"For 100% AgCl, the departures from the recommended data set are: 830 K, +0.10%, 1070 K, -3.0%.",
AgCl-PbCl2,0-100,+E,780,960,,15.378,-15163.91,,,,"For 100% PbCl2, the departures from the recommended data set are: 780 K, -0.80%, 950 K, -0.84%.",
AgCl-PbCl2,19.7-80.3,+E,740,960,,15.64,-14716.63,,,,,
AgCl-PbCl2,40.2-59.8,+E,680,920,,14.8,-13588.19,,,,,
AgCl-PbCl2,59.8-40.2,+E,640,960,,11.471,-10765.61,,,,,
AgCl-PbCl2,86.2-13.8,+E,680,960,,8.322,-6386.15,,,,,
AgCl-PbCl2,100-0,+E,740,960,,7.633,-4325.49,,,,"For 100% AgCl, the departures from the recommended data set are: 750 K, -0.79%, 960 K, -2.9%.",
AgCl-TlCl,0.00-100.00,+E,773,973,,12.779,-14989.01,,,,"For 100% TlCl, the departures from the recommended data set are: 773 K, -8%, 973 K, +1%.",
AgCl-TlCl,100-0 TlCl,I4,773.2,,,3.659,-0.05204,8.21E-5,5.797E-6,-3.858E-8,"For 100% TlCl and 100% AgCl at 773 K, the departures from the ecomended data sets are, respectively, -10% and -7%.",
AgClO3,100,+E,505,510,,19.4316,-16115.78,,,,,
AgClO3-LiNO3,50-50,+E,480,510,,30.0756,-17374.77,,,,,
AgF,100,+E,773,923,20%,38.5791,-14441.32,,,,"AgF: Recommended data, shift from previous evaluation.",
AgI,100,+E,830,1073,12%,4.674,-4794.94,,,,,
AgI-AgNO3,0-100,+E,485,560,,11.234,-11510.38,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, -3.5%, 560 K, -3.1%.",
AgI-AgNO3,7.4-92.6,+E,455,560,,26.4094,-15289.43,,,,,
AgI-AgNO3,15.3-84.7,+E,425,560,,14.6759,-12648.44,,,,,
AgI-AgNO3,19.4-80.6,+E,410,560,,14.9478,-12561.41,,,,,
AgI-AgNO3,21.1-78.9,+E,410,560,,14.0394,-12345.1,,,,,
AgI-AgNO3,23.7-76.3,+E,400,560,,14.2725,-12353.47,,,,,
AgI-AgNO3,26.3-73.7,+E,400,560,,12.6631,-11722.09,,,,,
AgI-AgNO3,28-72,+E,400,560,,11.482,-11235.48,,,,,
AgI-AgNO3,29.8-70.2,+E,400,560,,11.2459,-11071.05,,,,,
AgI-AgNO3,32.5-67.5,+E,400,560,,9.58101,-10338.42,,,,,
AgI-AgNO3,35.3-64.7,+E,400,560,,10.1156,-10377.33,,,,,
AgI-AgNO3,38.1-61.9,+E,400,560,,9.2,-9838.,,,,,
AgI-AgNO3,40-60,+E,400,560,,8.82544,-9687.38,,,,,
AgI-AgNO3,42-58,+E,400,560,,8.19206,-9192.4,,,,,
AgI-AgNO3,44.9-55.1,+E,400,560,,8.0127,-8997.84,,,,,
AgI-AlI3,8.88-91.12,+E,470,580,,0.3171,-16565.99,,,,,
AgI-AlI3,71.22-97.86 AlI3,I2,473,,,0.24586,-0.0044694,2.001E-5,,,,
AgNO3,100,+E,490,630,1%,11.29,-11384.85,,,,,
AgNO3-Ba(NO3)2,97.44-2.56,+E,540,590,,10.868,-11443.43,,,,,
AgNO3-Ba(NO3)2,98.48-1.52,+E,490,590,,13.07,-12192.38,,,,,
AgNO3-Ba(NO3)2,100-0,+E,490,590,,12.576,-11828.37,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, 0.0%,580 K, +1.6%.",
AgNO3-Ca(NO3)2,88.89-11.11,+E,490,590,,18.874,-15330.43,,,,,
AgNO3-Ca(NO3)2,94.74-5.26,+E,490,590,,17.162,-14025.,,,,,
AgNO3-Ca(NO3)2,97.44-2.56,+E,490,590,,13.53,-12548.03,,,,,
AgNO3-Ca(NO3)2,98.48-1.52,+E,490,590,,13.119,-12242.59,,,,,
AgNO3-Ca(NO3)2,100-0,+E,490,590,,12.576,-11828.37,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, 0.0%,580 K, +1.6%.",
AgNO3-Cd(NO3)2,46.1-53.9,+E,523.2,583.2,,108.24,-28564.65,,,,,
AgNO3-Cd(NO3)2,51.8-48.2,+E,483.2,583.2,,168.87,-29819.87,,,,,
AgNO3-Cd(NO3)2,55.0-45.0,+E,463.2,583.2,,169.73,-29242.47,,,,,
AgNO3-Cd(NO3)2,57.1-42.9,+E,443.2,563.2,,266.15,-30819.86,,,,,
AgNO3-Cd(NO3)2,59.6-40.4,+E,443.2,583.2,,181.27,-28937.03,,,,,
AgNO3-Cd(NO3)2,62.0-38.0,+E,423.2,583.2,,225.68,-29422.38,,,,,
AgNO3-Cd(NO3)2,64.4-35.6,+E,423.2,583.2,,165.7,-27665.07,,,,,
AgNO3-Cd(NO3)2,66.6-33.4,+E,423.2,583.2,,129.16,-26121.15,,,,,
AgNO3-Cd(NO3)2,68.8-31.2,+E,423.2,583.2,,100.38,-24593.96,,,,,
AgNO3-Cd(NO3)2,70.9-29.1,+E,423.2,563.2,,46.282,-20665.12,,,,,
AgNO3-Cd(NO3)2,73.0-27.0,+E,423.2,583.2,,36.952,-19614.92,,,,,
AgNO3-Cd(NO3)2,75.0-25.0,+E,423.2,583.2,,29.784,-18430.83,,,,,
AgNO3-Cd(NO3)2,78.7-21.3,+E,423.2,583.2,,22.55,-16677.7,,,,,
AgNO3-Cd(NO3)2,82.3-17.7,+E,443.2,583.2,,16.441,-14819.98,,,,,
AgNO3-Cd(NO3)2,88.8-11.2,+E,463.2,583.2,,12.982,-12987.35,,,,,
AgNO3-Cd(NO3)2,91.8-8.2,+E,483.2,583.2,,10.892,-11857.65,,,,,
AgNO3-Cd(NO3)2,100-0,+E,503.2,543.2,,10.678,-11085.69,,,,"For 100% AgNO3, the departures from the recommended data set are: 503 K, +1.7%, 540 K, +0.7%.",
AgNO3-CsNO3,0-100,+E,692.1,740.5,,5.8807,-13707.01,,,,"For 100% CsNO3, the departures from the recommended data set are: 690 K, -0.53%, 740 K, -0.36%.",
AgNO3-CsNO3,25-75,+E,550,650,,4.261,-10920.42,,,,,
AgNO3-CsNO3,50-50,+E,540,650,,8.177,-13142.16,,,,,
AgNO3-CsNO3,70-30,+E,510,620,,10.917,-13372.29,,,,,
AgNO3-CsNO3,100-0,+E,500,590,,12.788,-11924.6,,,,"For 100% AgNO3, the departures from the recommended data set are: 500 K, -0.70%, 580 K, +1.3%.",
AgNO3-HgI2,10-90,+E,523,548,,2.959,-9716.25,,,,,
AgNO3-HgI2,15-85,+E,498,548,,2.56,-8460.61,,,,,
AgNO3-HgI2,20-80,+E,473,548,,5.428,-11624.6,,,,,
AgNO3-HgI2,25-75,+E,473,548,,7.358,-13083.17,,,,,
AgNO3-HgI2,30-70,+E,448,548,,9.475,-14335.04,,,,,
AgNO3-HgI2,35-65,+E,423,548,,22.057,-18082.71,,,,,
AgNO3-HgI2,37.5-62.5,+E,398,548,,27.628,-18997.77,,,,,
AgNO3-HgI2,40-60,+E,398,548,,26.046,-18809.91,,,,,
AgNO3-HgI2,42-58,+E,398,548,,35.755,-20103.2,,,,,
AgNO3-HgI2,45-55,+E,398,548,,22.219,-18237.94,,,,,
AgNO3-HgI2,46-54,+E,398,548,,44.695,-21045.45,,,,,
AgNO3-HgI2,47.5-52.5,+E,398,548,,22.272,-18193.59,,,,,
AgNO3-HgI2,49-51,+E,398,548,,44.028,-20955.91,,,,,
AgNO3-HgI2,50-50,+E,398,548,,41.75,-20649.64,,,,,
AgNO3-HgI2,52-48,+E,398,548,,39.471,-20383.95,,,,,
AgNO3-HgI2,55-45,+E,398,548,,33.177,-19635.42,,,,,
AgNO3-HgI2,57-43,+E,398,548,,28.85,-18881.45,,,,,
AgNO3-HgI2,60-40,+E,398,548,,22.35,-17588.16,,,,,
AgNO3-HgI2,62-38,+E,398,548,,21.717,-17201.13,,,,,
AgNO3-HgI2,65-35,+E,398,548,,14.753,-15456.79,,,,,
AgNO3-HgI2,67-33,+E,398,548,,21.678,-17252.59,,,,,
AgNO3-HgI2,68-32,+E,398,548,,33.86,-19153.,,,,,
AgNO3-HgI2,69-31,+E,398,548,,34.58,-18947.98,,,,,
AgNO3-HgI2,70-30,+E,398,548,,34.136,-18717.02,,,,,
AgNO3-HgI2,73-27,+E,398,548,,32.002,-18192.75,,,,,
AgNO3-HgI2,76-24,+E,398,548,,33.355,-18046.31,,,,,
AgNO3-HgI2,80-20,+E,398,548,,26.218,-16809.92,,,,,
AgNO3-HgI2,83-17,+E,398,548,,21.968,-15816.62,,,,,
AgNO3-HgI2,85-15,+E,398,548,,17.983,-14803.24,,,,,
AgNO3-HgI2,86-14,+E,398,548,,16.648,-14378.14,,,,,
AgNO3-HgI2,90-10,+E,423,548,,10.781,-12164.35,,,,,
AgNO3-HgI2,95-5,+E,473,548,,14.657,-12895.72,,,,,
AgNO3-HgI2,100-0,+E,498,548,,15.845,-12741.75,,,,"For 100% AgNO3, the departures from the recommended data set are: 500 K, +1.2%, 550 K, +4.4%.",
AgNO3-KNO3,0-100,+E,609,673,,12.1099,-15066.84,,,,"For 100% KNO3, the departures from the recommended data set are: 620 K, +0.3%,670 K, +0.5%.",
AgNO3-KNO3,10-90,+E,593,653,,12.268,-14778.14,,,,,
AgNO3-KNO3,20-80,+E,593,653,,12.767,-14640.06,,,,,
AgNO3-KNO3,30-70,+E,523,643,,13.6815,-14623.32,,,,,
AgNO3-KNO3,40-60,+E,483,643,,15.8312,-14995.71,,,,,
AgNO3-KNO3,50-50,+E,433,643,,21.475,-16087.75,,,,,
AgNO3-KNO3,60-40,+E,433,643,,19.566,-15309.51,,,,,
AgNO3-KNO3,70-30,+E,433,639,,18.246,-14619.14,,,,,
AgNO3-KNO3,80-20,+E,453,637,,14.494,-13225.85,,,,,
AgNO3-KNO3,90-10,+E,473,633,,12.73,-12271.88,,,,,
AgNO3-KNO3,100-0,+E,483,633,,11.29,-11384.85,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-LiNO3,0-100,+E,651,673,,20.587,-14209.1,,,,"For 100% LiNO3, the departures from the recommended data set are: 650 K, -0.73%, 670 K, -0.68%.",
AgNO3-LiNO3,10-90,+E,523,633,,21.701,-14464.33,,,,,
AgNO3-LiNO3,20-80,+E,513,623,,20.708,-14238.39,,,,,
AgNO3-LiNO3,30-70,+E,503,619,,19.402,-13937.14,,,,,
AgNO3-LiNO3,40-60,+E,493,617,,19.248,-13895.3,,,,,
AgNO3-LiNO3,50-50,+E,473,615,,19.597,-13987.35,,,,,
AgNO3-LiNO3,60-40,+E,463,613,,19.079,-13845.09,,,,,
AgNO3-LiNO3,70-30,+E,453,613,,17.875,-13539.65,,,,,
AgNO3-LiNO3,80-20,+E,453,613,,17.037,-13330.45,,,,,
AgNO3-LiNO3,90-10,+E,473,613,,13.925,-12380.66,,,,,
AgNO3-LiNO3,100-0,+E,483,633,,11.29,-11384.85,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-Mg(NO3)2,88.89-11.1,+E,490,590,,16.47,-14899.47,,,,,
AgNO3-Mg(NO3)2,94.74-5.26,+E,490,590,,14.077,-13217.48,,,,,
AgNO3-Mg(NO3)2,97.44-2.56,+E,490,590,,12.875,-12359.74,,,,,
AgNO3-Mg(NO3)2,98.48-1.52,+E,490,590,,13.041,-12259.33,,,,,
AgNO3-Mg(NO3)2,100-0,+E,490,590,,12.576,-11828.37,,,,"For 100% AgNO3, the departures from the recommended data set are: 490 K, 0.0%,580 K, +1.6%.",
AgNO3-NaNO3,0-100,+E,583,673,,12.982,-12514.55,,,,"For 100% NaNO3, the departures from the recommended data set are: 590 K, -0.34%, 670 K, +0.52%.",
AgNO3-NaNO3,20-80,+E,573,633,,13.664,-12727.94,,,,,
AgNO3-NaNO3,40-60,+E,553,621,,13.33,-12514.55,,,,,
AgNO3-NaNO3,60-40,+E,523,621,,13.34,-12418.32,,,,,
AgNO3-NaNO3,80-20,+E,493,615,,13.92,-12485.26,,,,,
AgNO3-NaNO3,100-0,+E,483,633,,11.29,-11384.85,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-RbNO3,0-100,+E,583,673,,9.942,-15640.05,,,,"For 100% RbNO3, the results have been advanced as the recommended data set.",
AgNO3-RbNO3,10-90,+E,553,653,,11.638,-15978.96,,,,,
AgNO3-RbNO3,20-80,+E,513,643,,13.713,-16305.32,,,,,
AgNO3-RbNO3,30-70,+E,453,643,,20.308,-17698.62,,,,,
AgNO3-RbNO3,40-60,+E,433,633,,23.727,-17937.11,,,,,
AgNO3-RbNO3,50-50,+E,433,633,,21.318,-16932.93,,,,,
AgNO3-RbNO3,60-40,+E,433,633,,19.617,-16037.54,,,,,
AgNO3-RbNO3,70-30,+E,433,623,,20.307,-15619.13,,,,,
AgNO3-RbNO3,80-20,+E,463,623,,14.129,-13455.97,,,,,
AgNO3-RbNO3,90-10,+E,463,613,,14.999,-13188.19,,,,,
AgNO3-RbNO3,100-0,+E,483,633,,11.29,-11384.85,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
AgNO3-TlNO3,0-100,+E,483,623,,8.026,-12510.37,,,,"For 100% TlNO3, the departures from the recommended data set are: 490 K, -0.26%, 620 K, -3.5%.",
AgNO3-TlNO3,10-90,+E,463,559,,10.083,-13246.77,,,,,
AgNO3-TlNO3,30-70,+E,433,559,,14.035,-14176.88,,,,,
AgNO3-TlNO3,50-50,+E,433,559,,15.935,-14238.39,,,,,
AgNO3-TlNO3,65-35,+E,433,559,,17.49,-14250.94,,,,,
AgNO3-TlNO3,79-21,+E,453,561,,15.837,-13455.97,,,,,
AgNO3-TlNO3,100-0,+E,483,633,,11.29,-11384.85,,,,"For 100% AgNO3, the results have been advanced as the recommended data set.",
Ag2S,100,+E,1115.2,1352.2,15%,41.5109,10749.42,,,,,
Ag2S-Na2S,20-80,+E,960,1250,,24.1426,-18728.32,,,,,
Ag2S-Na2S,30-70,+E,960,1250,,26.2644,-20071.82,,,,,
Ag2S-Na2S,40-60,+E,960,1250,,24.0856,-19142.96,,,,,
Ag2S-Na2S,50-50,+E,960,1250,,24.6097,-18473.09,,,,,
Ag2S-Na2S,60-40,+E,960,1250,,60.9404,-23239.58,,,,,
Ag2S-Na2S,70-30,+E,960,1250,,543.845,-41010.58,,,,,
Ag2SO4,100,+E,942,1017,3%,7.4568,-11523.56,,,,,
Ag2SO4-Li2SO4,40-60,+E,870,1050,,20.721,-18694.42,,,,,
Ag2SO4-Li2SO4,50-50,+E,860,1020,,17.287,-17614.93,,,,,
Ag2SO4-Li2SO4,60-40,+E,850,1020,,16.754,-17594.01,,,,,
Ag2SO4-Li2SO4,80-20,+E,860,1000,,13.309,-15907.83,,,,,
Ag2SO4-Li2SO4,90-10,+E,900,1020,,10.523,-14112.87,,,,,
Ag2SO4-Li2SO4,100-0,+E,940,1020,,7.4582,-11527.11,,,,"For 100% Ag2SO4, the results have been advanced as the recommended data set.",
AlBr3,100,+E,468,543,,1.167E-4,-27761.3,,,,,
AlBr3-CoBr2,82.3-17.7,DP,,,,8.E-4,423K,,,,,
AlBr3-FeBr3,81.6-18.4,DP,,,,0.001,423K,,,,,
AlBr3-HgBr2,66.67-33.33,+E,385,410,,44.017,-25658.39,,,,,
AlBr3-HgBr2,67.43-32.57,+E,385,410,,30.647,-24576.81,,,,,
AlBr3-HgBr2,70.54-29.46,+E,385,410,,12.236,-21986.45,,,,,
AlBr3-HgBr2,74.14-25.86,+E,385,410,,7.073,-20853.4,,,,,
AlBr3-HgBr2,83.57-16.43,+E,385,410,,0.2848,-13386.1,,,,,
AlBr3-HgBr2,92.06-7.94,+E,385,410,,0.004972,-6528.82,,,,,
AlBr3-KBr,66.67-33.33,+E,383.2,413.2,,42.143,-22504.86,,,,,
AlBr3-KBr,68.77-31.23,+E,383.2,413.2,,34.064,-22084.78,,,,,
AlBr3-KBr,71.21-28.79,+E,383.2,413.2,,28.354,-21809.46,,,,,
AlBr3-KBr,73.66-26.34,+E,383.2,413.2,,22.975,-21494.82,,,,,
AlBr3-KBr,75.66-24.34,+E,393.2,403.2,,31.769,-22877.66,,,,,
AlBr3-KBr,76.59-23.41,+E,383.2,413.2,,17.981,-21173.49,,,,,
AlBr3-KCl,66.7-33.3,+E,370,440,,21.5567,-20371.4,,,,,
AlBr3-KCl,100-0,+E,373,403,,2.8989E-5,13753.04,,,,"For 100% AlBr3 two points in this study should be noted; the specific conductance results seem about 4 orders larger than the recommended data set; and secondly, k decreases as T increases, i.e., the sign of E is positive.",
AlBr3-LiCl,80.13-19.87,+E,360,450,,0.508591,-11149.71,,,,,
AlBr3-MnBr2,82-18,DP,,,,0.001,433.2K,,,,,
